"","CU","par","scenario","model","post_mean","post_med","post_lwr","post_upr"
"1","Big.Salmon","alpha","reference (most recent generation)","Time-varying alpha",0.529587227798433,0.505521762090396,-0.376172106924369,1.47707471421428
"2","MiddleYukonR.andtribs.","alpha","reference (most recent generation)","Time-varying alpha",0.564970548930199,0.549301790871248,-0.741454460387886,1.839553238693
"3","Nordenskiold","alpha","reference (most recent generation)","Time-varying alpha",2.17959729507232,2.13584260707252,0.922064902646115,3.68807006596113
"4","NorthernYukonR.andtribs.","alpha","reference (most recent generation)","Time-varying alpha",0.254793560866431,0.216423912410718,-0.642637183558773,1.22204829373813
"5","Pelly","alpha","reference (most recent generation)","Time-varying alpha",0.100136838123588,0.131202881043963,-1.01742872357135,1.14241545726744
"6","Stewart","alpha","reference (most recent generation)","Time-varying alpha",0.780477537822363,0.817836265223472,-0.380211387595017,1.77055832298143
"7","UpperYukonR.","alpha","reference (most recent generation)","Time-varying alpha",0.736014865061718,0.779012020765472,-0.411289664330261,1.69596178834105
"8","Whiteandtribs.","alpha","reference (most recent generation)","Time-varying alpha",0.278846742007924,0.257460373614995,-0.485551676946531,1.11006212666375
"9","YukonR.Teslinheadwaters","alpha","reference (most recent generation)","Time-varying alpha",1.52024469252847,1.56090919157764,0.535290379788181,2.31193603253967
"10","Big.Salmon","alpha","robustness (long-term average)","Time-varying alpha",1.48740022860553,1.55124881866222,-0.028488876041309,2.55011243914527
"11","MiddleYukonR.andtribs.","alpha","robustness (long-term average)","Time-varying alpha",1.33958309373369,1.43620115310872,-0.264804807897169,2.40181331508578
"12","Nordenskiold","alpha","robustness (long-term average)","Time-varying alpha",2.08408373946713,2.08530561858211,0.970562827780724,3.19920825254378
"13","NorthernYukonR.andtribs.","alpha","robustness (long-term average)","Time-varying alpha",1.48713137902325,1.53670818318185,-0.279750212179609,3.03678299327627
"14","Pelly","alpha","robustness (long-term average)","Time-varying alpha",1.19075689440099,1.26779856936869,-0.652969302025758,2.30187503223495
"15","Stewart","alpha","robustness (long-term average)","Time-varying alpha",1.57059915443903,1.58407078265538,0.129366386283269,2.79844615339421
"16","UpperYukonR.","alpha","robustness (long-term average)","Time-varying alpha",1.36210402391964,1.38110680222838,0.136551240248764,2.37023481363257
"17","Whiteandtribs.","alpha","robustness (long-term average)","Time-varying alpha",1.25031970656395,1.23705972369476,-0.168403074871737,2.53885544256384
"18","YukonR.Teslinheadwaters","alpha","robustness (long-term average)","Time-varying alpha",1.93722757457347,1.87014988713414,0.931491391299587,3.06654019569593
"19","Big.Salmon","alpha","robustness (most recent year)","Time-varying alpha",0.1397189868184,0.13169198429651,-0.476327628649347,0.802689085351466
"20","MiddleYukonR.andtribs.","alpha","robustness (most recent year)","Time-varying alpha",-0.11898302810182,-0.139546689082578,-0.920901100449553,0.76672214284545
"21","Nordenskiold","alpha","robustness (most recent year)","Time-varying alpha",1.80949876838417,1.82590352352568,0.808319614655438,2.76170098927854
"22","NorthernYukonR.andtribs.","alpha","robustness (most recent year)","Time-varying alpha",0.0213087888434533,0.0153789868900525,-0.535560320341757,0.601228281445276
"23","Pelly","alpha","robustness (most recent year)","Time-varying alpha",-0.581062152094195,-0.584948698641255,-1.13484013460166,0.0161755862936357
"24","Stewart","alpha","robustness (most recent year)","Time-varying alpha",0.367695462464052,0.362908184821591,-0.437306197700852,1.19481247595969
"25","UpperYukonR.","alpha","robustness (most recent year)","Time-varying alpha",0.318063230663449,0.326219783754635,-0.610534745196925,1.19734288325615
"26","Whiteandtribs.","alpha","robustness (most recent year)","Time-varying alpha",-0.02198832759048,-0.0249395933770255,-0.668297542120671,0.661677540421004
"27","YukonR.Teslinheadwaters","alpha","robustness (most recent year)","Time-varying alpha",1.18339376915543,1.181354347174,0.388670407257741,1.96629753449703
"28","Big.Salmon","alpha","stationary","stationary",1.14153497400994,1.08081591189019,0.135027372094042,2.66203873601147
"29","MiddleYukonR.andtribs.","alpha","stationary","stationary",1.06158408102701,0.995389560549784,0.116917924103345,2.60766005193965
"30","Nordenskiold","alpha","stationary","stationary",2.02724482978281,2.03396633766195,1.38051823011222,2.64686370127556
"31","NorthernYukonR.andtribs.","alpha","stationary","stationary",1.06843963632652,0.986125305044127,0.101116136165784,2.67953777659237
"32","Pelly","alpha","stationary","stationary",0.922496363539998,0.810140329199797,0.0762320269655587,2.72758966812654
"33","Stewart","alpha","stationary","stationary",1.29637807982736,1.29986202349655,0.295969352002719,2.34789913216346
"34","UpperYukonR.","alpha","stationary","stationary",1.22309417765984,1.21957889070603,0.457906585271178,1.96827794471259
"35","Whiteandtribs.","alpha","stationary","stationary",1.14812213491125,1.05823257022187,0.138072446048561,2.94052876482881
"36","YukonR.Teslinheadwaters","alpha","stationary","stationary",1.59336641702723,1.62740381964523,0.403891457605071,2.59014868640262
