"V1","reproOutputPerSpawner"
1985,542.361190964049
1986,695.866722344536
1987,717.893113367351
1988,865.668749853349
1989,659.355850120988
1990,608.699094168015
1991,660.063715712272
1992,476.826448874325
1993,657.215047130984
1994,487.71045340593
1995,564.714804079168
1996,472.383477098506
1997,652.04674931394
1998,438.534563566747
1999,523.177788189274
2000,469.85821811062
2001,356.999178793609
2002,487.896564416181
2003,578.182823081251
2004,684.602071670102
2005,430.003079269059
2006,474.770801228494
2007,517.231884291627
2008,434.654210851661
2009,473.717384808941
2010,421.427646034192
2011,614.969462223995
2012,557.179006646846
2013,591.921041866762
2014,379.598646773391
2015,464.016580381702
2016,342.41533232304
2017,569.830906301995
2018,457.752118618348
2019,479.743322483805
2020,537.099861478454
2021,431.589362945126
2022,480.544387631849
2023,297.688916127406
2024,344.402598851281
