Year ,District ,Fishery ,Stock ,Age1.1,Age1.2,Age1.3,Age2.2,Age1.4,Age2.3,Age1.5,Age2.4,Age1.6,Age2.5,Total
1982,2,US_Comm,Middle,0,751,2604,0,8182,13,652,11,0,0,12213
1982,2,US_Comm,Upper,0,145,1587,26,14916,326,4233,529,0,152,21914
1982,2,US_Subsistence,Lower,0,10,51,0,55,0,2,0,0,0,118
1982,2,US_Subsistence,Middle,0,24,104,0,222,0,13,1,0,0,364
1982,2,US_Subsistence,Upper,0,6,85,0,1180,4,287,63,0,2,1627
1982,3,US_Comm,Lower,0,335,308,0,120,0,4,0,0,0,767
1982,3,US_Comm,Middle,0,85,153,0,520,1,34,0,0,0,793
1982,3,US_Comm,Upper,0,26,126,7,671,40,157,14,0,8,1049
1982,3,US_Subsistence,Lower,0,16,81,0,88,0,3,0,0,0,188
1982,3,US_Subsistence,Middle,0,38,166,0,354,0,21,2,0,0,581
1982,3,US_Subsistence,Upper,0,10,135,0,1879,6,457,100,0,3,2590
1982,4,US_Comm,Lower,30,235,144,0,42,0,1,0,0,0,452
1982,4,US_Comm,Middle,30,55,51,0,151,0,12,0,0,0,299
1982,4,US_Comm,Upper,30,13,39,0,196,0,58,0,0,0,336
1982,4,US_Subsistence,Lower,116,908,556,0,162,0,4,0,0,0,1746
1982,4,US_Subsistence,Middle,116,213,197,0,583,0,46,0,0,0,1155
1982,4,US_Subsistence,Upper,116,50,151,0,757,0,224,0,0,0,1298
1982,5,US_Comm,Upper,410,500,1107,12,2380,98,781,97,0,0,5385
1982,5,US_Subsistence,Upper,978,1192,2639,29,5674,234,1862,231,0,0,12839
1982,6,US_Comm,Middle,0,203,420,2,314,0,42,0,0,0,981
1982,6,US_Sport,Middle,3,274,287,0,393,1,47,1,0,0,1006
1982,6,US_Subsistence,Middle,0,691,1431,7,1069,0,143,0,0,0,3341
1982,7,CA_Comm,Upper,0,373,1429,31,4320,249,1989,249,0,0,8640
1982,7,CA_Subsistence,Upper,0,370,1417,31,4284,247,1972,247,0,0,8568
1983,1,US_Comm,Lower,0,2366,6940,0,5147,52,33,43,0,0,14581
1983,1,US_Comm,Middle,0,3637,6625,0,22179,7,1845,93,0,0,34386
1983,1,US_Comm,Upper,0,254,4684,0,33533,317,4827,2783,0,92,46490
1983,1,US_Subsistence,Lower,0,24,203,0,28,1,0,0,0,0,256
1983,1,US_Subsistence,Middle,0,174,642,0,2413,0,102,2,0,0,3333
1983,1,US_Subsistence,Upper,0,8,248,0,2091,64,179,63,0,21,2674
1983,2,US_Comm,Lower,0,1334,3945,0,3657,0,14,0,0,0,8950
1983,2,US_Comm,Middle,0,2101,5004,0,8726,0,699,5,0,0,16535
1983,2,US_Comm,Upper,0,164,1880,0,13466,0,2011,223,0,0,17744
1983,2,US_Subsistence,Lower,0,30,419,0,215,1,1,0,0,0,666
1983,2,US_Subsistence,Middle,0,194,1111,0,2865,0,168,4,0,0,4342
1983,2,US_Subsistence,Upper,0,8,350,0,3096,47,401,139,0,16,4057
1983,3,US_Comm,Lower,0,99,340,0,317,0,1,0,0,0,757
1983,3,US_Comm,Middle,0,178,491,0,924,0,73,0,0,0,1666
1983,3,US_Comm,Upper,0,12,145,0,1315,0,199,12,0,0,1683
1983,3,US_Subsistence,Lower,0,16,227,0,116,1,1,0,0,0,361
1983,3,US_Subsistence,Middle,0,105,602,0,1552,0,91,2,0,0,2352
1983,3,US_Subsistence,Upper,0,4,190,0,1677,25,217,75,0,9,2197
1983,4,US_Comm,Lower,2,103,50,0,14,1,0,0,0,0,170
1983,4,US_Comm,Middle,2,164,80,0,62,1,1,0,0,0,310
1983,4,US_Comm,Upper,1,11,16,0,88,1,2,2,0,0,121
1983,4,US_Subsistence,Lower,28,1417,688,0,193,14,0,0,0,0,2340
1983,4,US_Subsistence,Middle,28,2257,1101,0,853,14,14,0,0,0,4267
1983,4,US_Subsistence,Upper,14,151,220,0,1211,14,27,27,0,0,1664
1983,5,US_Comm,Upper,0,338,1249,7,1799,37,147,29,0,0,3606
1983,5,US_Subsistence,Upper,0,1571,5804,33,8360,172,683,135,0,0,16758
1983,6,US_Comm,Middle,0,32,312,0,524,0,43,0,0,0,911
1983,6,US_Sport,Middle,0,206,216,0,580,0,45,1,0,0,1048
1983,6,US_Subsistence,Middle,0,512,1135,0,2373,0,189,2,0,0,4211
1983,7,CA_Comm,Upper,0,145,1408,0,9238,41,1760,435,0,0,13027
1983,7,CA_Subsistence,Upper,0,66,640,0,4202,19,800,198,0,0,5925
1984,1,US_Comm,Lower,0,791,4824,20,18357,0,888,20,0,0,24900
1984,1,US_Comm,Middle,0,1168,13071,20,15553,35,4278,1246,0,59,35430
1984,1,US_Comm,Upper,0,0,0,20,9791,232,3022,1268,0,8,14341
1984,1,US_Subsistence,Lower,0,16,178,0,1108,0,27,0,0,0,1329
1984,1,US_Subsistence,Middle,0,94,1096,0,1075,5,152,64,0,0,2486
1984,1,US_Subsistence,Upper,0,0,0,0,625,25,102,57,0,0,809
1984,2,US_Comm,Lower,0,902,2492,3,7246,0,323,0,0,0,10966
1984,2,US_Comm,Middle,0,866,8224,3,7623,10,1973,345,0,33,19077
1984,2,US_Comm,Upper,0,0,0,3,4834,66,1427,319,0,5,6654
1984,2,US_Subsistence,Lower,0,13,250,0,1741,0,72,0,0,0,2076
1984,2,US_Subsistence,Middle,0,79,1588,0,1690,4,397,89,0,13,3860
1984,2,US_Subsistence,Upper,0,0,0,0,905,18,238,73,0,2,1236
1984,3,US_Comm,Lower,0,5,98,0,659,0,26,0,0,0,788
1984,3,US_Comm,Middle,0,31,661,0,735,0,167,38,0,10,1642
1984,3,US_Comm,Upper,0,0,0,0,451,0,119,36,0,3,609
1984,3,US_Subsistence,Lower,0,4,67,0,548,0,26,0,0,0,645
1984,3,US_Subsistence,Middle,0,14,686,0,740,1,198,111,0,0,1750
1984,3,US_Subsistence,Upper,0,0,0,0,609,12,187,139,0,0,947
1984,4,US_Comm,Lower,0,12,209,0,364,0,18,0,0,0,603
1984,4,US_Comm,Middle,0,2,37,0,80,0,23,11,0,0,153
1984,4,US_Comm,Upper,0,2,25,0,116,0,37,25,0,0,205
1984,4,US_Subsistence,Lower,0,78,1353,0,2356,0,116,0,0,0,3903
1984,4,US_Subsistence,Middle,0,13,239,0,518,0,149,71,0,0,990
1984,4,US_Subsistence,Upper,0,13,162,0,751,0,239,162,0,0,1327
1984,5,US_Comm,Upper,0,205,992,0,2044,34,368,26,0,0,3669
1984,5,US_Subsistence,Upper,0,835,4039,0,8322,138,1498,106,0,0,14938
1984,6,US_Comm,Middle,0,12,210,0,453,0,130,62,0,0,867
1984,6,US_Sport,Middle,0,35,146,0,132,0,37,1,0,0,351
1984,6,US_Subsistence,Middle,0,195,1476,0,2426,0,692,261,0,0,5050
1984,7,CA_Comm,Upper,0,963,2439,32,4943,96,1348,64,0,0,9885
1984,7,CA_Subsistence,Upper,0,673,1705,23,3455,67,942,45,0,0,6910
1985,1,US_Comm,Lower,0,3389,4211,0,27011,0,1476,0,0,0,36087
1985,1,US_Comm,Middle,0,216,1584,0,15130,0,1007,35,0,0,17972
1985,1,US_Comm,Upper,0,16,2023,0,26601,47,5264,1717,0,284,35952
1985,1,US_Subsistence,Lower,0,148,154,0,524,0,21,0,0,0,847
1985,1,US_Subsistence,Middle,0,45,152,0,739,0,39,1,0,0,976
1985,1,US_Subsistence,Upper,0,1,100,0,978,0,152,17,0,0,1248
1985,2,US_Comm,Lower,0,3210,2659,6,10464,0,724,0,0,0,17063
1985,2,US_Comm,Middle,0,579,1809,6,9043,0,603,20,0,0,12060
1985,2,US_Comm,Upper,0,8,1444,6,13765,181,2869,914,0,55,19242
1985,2,US_Subsistence,Lower,0,95,218,0,803,0,41,0,0,0,1157
1985,2,US_Subsistence,Middle,0,29,115,0,2119,0,151,4,0,0,2418
1985,2,US_Subsistence,Upper,0,1,182,0,2177,0,450,98,0,0,2908
1985,3,US_Comm,Lower,0,22,26,0,241,0,6,0,0,0,295
1985,3,US_Comm,Middle,0,17,60,0,524,0,17,2,0,0,620
1985,3,US_Comm,Upper,0,2,189,0,1272,17,120,66,0,7,1673
1985,3,US_Subsistence,Lower,0,17,102,0,825,0,39,0,0,0,983
1985,3,US_Subsistence,Middle,0,5,76,0,635,0,39,2,0,0,757
1985,3,US_Subsistence,Upper,0,0,76,0,1181,1,211,95,0,38,1602
1985,4,US_Comm,Lower,0,34,30,0,63,0,2,0,0,0,129
1985,4,US_Comm,Middle,0,9,20,0,52,0,2,0,0,0,83
1985,4,US_Comm,Upper,0,0,66,0,336,3,44,3,0,0,452
1985,4,US_Subsistence,Lower,0,319,281,0,590,0,19,0,0,0,1209
1985,4,US_Subsistence,Middle,0,84,187,0,487,0,19,0,0,0,777
1985,4,US_Subsistence,Upper,0,0,618,0,3148,28,412,28,0,0,4234
1985,5,US_Comm,Upper,0,175,459,19,2006,53,576,84,0,0,3372
1985,5,US_Subsistence,Upper,0,783,2054,85,8977,237,2578,376,0,0,15090
1985,6,US_Comm,Middle,16,232,531,0,347,0,16,0,0,0,1142
1985,6,US_Sport,Middle,0,167,267,5,844,0,84,1,0,0,1368
1985,6,US_Subsistence,Middle,120,1743,3990,0,2607,0,120,0,0,0,8580
1985,7,CA_Comm,Upper,0,25,1295,0,8223,63,2590,289,0,88,12573
1985,7,CA_Subsistence,Upper,0,13,693,0,4400,34,1386,155,0,47,6728
1986,1,US_Comm,Lower,0,205,6653,0,4548,8,1329,43,0,0,12786
1986,1,US_Comm,Middle,0,190,935,0,394,7,136,5,0,0,1667
1986,1,US_Comm,Upper,0,125,8438,0,18103,222,11041,532,0,121,38582
1986,1,US_Subsistence,Lower,0,11,543,0,414,2,74,3,0,0,1047
1986,1,US_Subsistence,Middle,0,72,477,0,92,2,20,0,0,0,663
1986,1,US_Subsistence,Upper,0,15,1472,0,1441,35,548,35,0,19,3565
1986,2,US_Comm,Lower,0,398,5879,2,6004,42,2125,79,0,0,14529
1986,2,US_Comm,Middle,0,707,1595,0,603,52,220,7,0,0,3184
1986,2,US_Comm,Upper,0,438,8640,4,8556,514,5586,330,0,68,24136
1986,2,US_Subsistence,Lower,0,17,735,0,502,2,88,5,0,0,1349
1986,2,US_Subsistence,Middle,0,83,494,0,0,0,0,0,0,0,577
1986,2,US_Subsistence,Upper,0,19,1831,0,1892,46,701,44,0,24,4557
1986,3,US_Comm,Lower,0,7,127,0,148,0,52,2,0,0,336
1986,3,US_Comm,Middle,0,13,39,0,10,1,3,0,0,0,66
1986,3,US_Comm,Upper,0,6,161,0,188,10,126,6,0,2,499
1986,3,US_Subsistence,Lower,0,11,488,0,333,2,58,3,0,0,895
1986,3,US_Subsistence,Middle,0,55,328,0,0,0,0,0,0,0,383
1986,3,US_Subsistence,Upper,0,13,1216,0,1256,31,466,29,0,16,3027
1986,4,US_Comm,Lower,0,29,24,0,25,1,6,2,0,0,87
1986,4,US_Comm,Middle,18,108,8,0,17,6,4,1,0,0,162
1986,4,US_Comm,Upper,0,8,31,0,109,26,56,16,0,7,253
1986,4,US_Subsistence,Lower,0,496,410,0,428,17,103,34,0,0,1488
1986,4,US_Subsistence,Middle,308,1848,137,0,291,103,68,17,0,0,2772
1986,4,US_Subsistence,Upper,0,137,530,0,1865,445,958,274,0,120,4329
1986,5,US_Comm,Upper,82,628,189,0,935,136,562,140,0,61,2733
1986,5,US_Subsistence,Upper,478,3656,1100,0,5444,792,3272,815,0,355,15912
1986,6,US_Comm,Middle,52,396,40,0,261,64,92,38,0,7,950
1986,6,US_Sport,Middle,1,82,366,0,232,10,102,2,0,1,796
1986,6,US_Subsistence,Middle,256,1948,197,0,1284,315,453,187,0,34,4674
1986,7,CA_Comm,Upper,0,0,1661,0,4865,119,4034,59,0,59,10797
1986,7,CA_Subsistence,Upper,0,0,1472,0,4311,105,3575,52,0,52,9567
1987,1,US_Comm,Lower,0,1344,1524,11,17640,11,686,52,0,50,21318
1987,1,US_Comm,Middle,0,357,1193,11,12320,19,946,41,0,0,14887
1987,1,US_Comm,Upper,0,965,3101,11,28040,229,4961,2780,0,351,40438
1987,1,US_Subsistence,Lower,0,13,82,0,1640,0,66,9,0,0,1810
1987,1,US_Subsistence,Middle,0,9,116,0,1535,2,141,8,0,0,1811
1987,1,US_Subsistence,Upper,0,19,200,0,2308,38,530,482,0,80,3657
1987,2,US_Comm,Lower,0,352,371,11,5086,58,199,6,0,0,6083
1987,2,US_Comm,Middle,0,384,823,11,7646,61,684,11,0,0,9620
1987,2,US_Comm,Upper,0,1468,2665,11,21389,135,4777,1250,0,60,31755
1987,2,US_Subsistence,Lower,0,0,24,0,1202,0,40,2,0,0,1268
1987,2,US_Subsistence,Middle,0,0,53,0,1824,0,139,3,0,0,2019
1987,2,US_Subsistence,Upper,0,0,169,0,5074,0,962,347,0,27,6579
1987,3,US_Comm,Lower,0,9,14,1,224,4,9,0,0,0,261
1987,3,US_Comm,Middle,0,9,34,1,337,4,30,0,0,0,415
1987,3,US_Comm,Upper,0,33,109,1,944,9,207,58,0,2,1363
1987,3,US_Subsistence,Lower,0,5,36,0,854,0,33,4,0,0,932
1987,3,US_Subsistence,Middle,0,3,54,0,941,1,81,3,0,0,1083
1987,3,US_Subsistence,Upper,0,7,109,0,1886,14,392,250,0,35,2693
1987,4,US_Comm,Lower,3,29,24,1,140,2,4,1,0,0,204
1987,4,US_Comm,Middle,3,32,53,1,211,2,15,1,0,0,318
1987,4,US_Comm,Upper,3,115,173,0,590,2,102,17,0,0,1002
1987,4,US_Subsistence,Lower,14,138,114,5,666,10,19,5,0,0,971
1987,4,US_Subsistence,Middle,14,152,252,5,1003,9,71,5,0,0,1511
1987,4,US_Subsistence,Upper,14,547,823,0,2805,9,485,81,0,0,4764
1987,5,US_Comm,Upper,9,272,451,2,2524,13,455,32,0,0,3758
1987,5,US_Subsistence,Upper,43,1395,2312,13,12926,68,2331,161,0,0,19249
1987,6,US_Comm,Middle,22,450,661,6,1941,22,219,17,0,0,3338
1987,6,US_Sport,Middle,0,21,65,0,374,1,40,1,0,0,502
1987,6,US_Subsistence,Middle,32,644,946,8,2778,31,314,24,0,0,4777
1987,7,CA_Comm,Upper,0,330,851,0,3867,137,1043,467,0,55,6750
1987,7,CA_Subsistence,Upper,0,531,1370,0,6224,220,1679,752,0,88,10864
1988,1,US_Comm,Lower,0,6039,4744,96,8118,73,1702,5,0,7,20784
1988,1,US_Comm,Middle,0,332,863,25,4897,0,3190,7,0,13,9327
1988,1,US_Comm,Upper,0,3106,8328,0,4734,186,9477,630,0,537,26998
1988,1,US_Subsistence,Lower,0,17,87,0,575,6,89,0,0,0,774
1988,1,US_Subsistence,Middle,0,9,38,0,534,0,167,0,0,1,749
1988,1,US_Subsistence,Upper,0,33,463,0,307,18,1565,24,0,72,2482
1988,2,US_Comm,Lower,0,2849,2754,32,4487,20,780,3,0,9,10934
1988,2,US_Comm,Middle,0,196,178,9,2901,0,1510,1,0,6,4801
1988,2,US_Comm,Upper,0,2220,6073,3,3204,128,7373,294,0,158,19453
1988,2,US_Subsistence,Lower,0,17,71,0,513,5,132,0,0,1,739
1988,2,US_Subsistence,Middle,0,6,25,0,512,0,205,0,0,0,748
1988,2,US_Subsistence,Upper,0,47,483,0,352,14,1355,22,0,63,2336
1988,3,US_Comm,Lower,0,121,77,0,197,0,24,0,0,0,419
1988,3,US_Comm,Middle,0,0,0,0,179,0,46,0,0,0,225
1988,3,US_Comm,Upper,0,101,298,0,174,6,521,15,0,8,1123
1988,3,US_Subsistence,Lower,0,20,92,0,632,6,128,0,0,1,879
1988,3,US_Subsistence,Middle,0,9,37,0,608,0,216,0,0,0,870
1988,3,US_Subsistence,Upper,0,46,549,0,383,19,1696,27,0,78,2798
1988,4,US_Comm,Lower,49,118,56,18,337,14,38,0,0,2,632
1988,4,US_Comm,Middle,49,111,25,30,287,0,79,0,0,0,581
1988,4,US_Comm,Upper,48,559,521,0,261,46,473,8,0,30,1946
1988,4,US_Subsistence,Lower,140,337,160,51,963,40,109,0,0,6,1806
1988,4,US_Subsistence,Middle,140,317,72,86,821,0,226,0,0,0,1662
1988,4,US_Subsistence,Upper,137,1598,1489,0,746,132,1352,23,0,86,5563
1988,5,US_Comm,Upper,6,386,741,8,798,20,1329,79,0,69,3436
1988,5,US_Subsistence,Upper,32,2080,3993,43,4300,108,7161,425,0,372,18514
1988,6,US_Comm,Middle,8,219,187,0,235,0,129,3,0,5,786
1988,6,US_Sport,Middle,4,147,198,1,419,0,172,1,0,2,944
1988,6,US_Subsistence,Middle,72,1941,1564,0,1852,0,665,0,0,18,6112
1988,7,CA_Comm,Upper,0,817,2413,0,4938,111,4270,186,0,482,13217
1988,7,CA_Subsistence,Upper,0,508,1499,0,3067,69,2652,116,0,299,8210
1989,1,US_Comm,Lower,0,526,8722,0,11087,0,542,0,0,41,20918
1989,1,US_Comm,Middle,0,340,5001,0,5893,1,767,0,0,41,12043
1989,1,US_Comm,Upper,0,1937,6662,224,15411,254,3289,1189,0,437,29403
1989,1,US_Subsistence,Lower,0,2,454,0,533,0,35,0,0,5,1029
1989,1,US_Subsistence,Middle,0,4,415,0,568,0,91,0,0,5,1083
1989,1,US_Subsistence,Upper,0,21,586,0,1533,0,402,136,0,61,2739
1989,2,US_Comm,Lower,4,350,4731,0,7092,0,450,0,0,11,12638
1989,2,US_Comm,Middle,4,98,1544,0,2429,0,368,0,0,11,4454
1989,2,US_Comm,Upper,4,1386,4540,93,7092,338,1769,701,0,210,16133
1989,2,US_Subsistence,Lower,0,11,525,0,1253,0,86,0,0,0,1875
1989,2,US_Subsistence,Middle,0,7,526,0,443,0,72,0,0,0,1048
1989,2,US_Subsistence,Upper,0,137,981,12,2110,139,547,234,0,64,4224
1989,3,US_Comm,Lower,0,30,333,0,404,0,27,0,0,1,795
1989,3,US_Comm,Middle,0,7,45,0,128,0,20,0,0,1,201
1989,3,US_Comm,Upper,0,82,206,8,254,5,66,21,0,7,649
1989,3,US_Subsistence,Lower,0,7,351,0,838,0,57,0,0,0,1253
1989,3,US_Subsistence,Middle,0,5,352,0,296,0,48,0,0,0,701
1989,3,US_Subsistence,Upper,0,91,656,8,1411,93,366,156,0,43,2824
1989,4,US_Comm,Lower,65,96,496,0,437,6,0,0,0,0,1100
1989,4,US_Comm,Middle,65,15,129,0,110,6,0,0,0,0,325
1989,4,US_Comm,Upper,65,461,564,0,269,6,0,0,0,0,1365
1989,4,US_Subsistence,Lower,193,285,1472,0,1296,18,0,0,0,0,3264
1989,4,US_Subsistence,Middle,193,44,383,0,326,18,0,0,0,0,964
1989,4,US_Subsistence,Upper,193,1368,1673,0,798,18,0,0,0,0,4050
1989,5,US_Comm,Upper,11,529,877,11,1439,95,213,111,0,0,3286
1989,5,US_Subsistence,Upper,74,3562,5905,74,9689,640,1434,747,0,0,22125
1989,6,US_Comm,Middle,8,71,529,0,1257,44,249,23,0,0,2181
1989,6,US_Sport,Middle,4,43,307,4,593,2,100,0,0,0,1053
1989,6,US_Subsistence,Middle,16,137,994,0,2183,84,443,26,0,0,3883
1989,7,CA_Comm,Upper,0,96,1003,0,6479,0,2017,97,0,97,9789
1989,7,CA_Subsistence,Upper,0,80,836,0,5397,0,1680,81,0,81,8155
1990,1,US_Comm,Lower,0,2523,2945,0,6996,1,269,0,0,0,12734
1990,1,US_Comm,Middle,0,1741,3343,14,9765,0,908,0,0,0,15771
1990,1,US_Comm,Upper,0,2549,5998,311,12019,186,1498,1138,0,58,23757
1990,1,US_Subsistence,Lower,0,321,435,0,281,0,10,0,0,0,1047
1990,1,US_Subsistence,Middle,0,181,348,0,1796,0,152,0,0,0,2477
1990,1,US_Subsistence,Upper,0,412,871,44,1830,25,203,152,0,8,3545
1990,2,US_Comm,Lower,0,1596,2547,0,5421,1,231,0,0,10,9806
1990,2,US_Comm,Middle,0,631,1980,3,5377,0,637,0,0,10,8638
1990,2,US_Comm,Upper,0,3634,3852,39,5904,158,965,208,0,9,14769
1990,2,US_Subsistence,Lower,0,1057,1070,4,1675,15,70,0,0,3,3894
1990,2,US_Subsistence,Middle,0,609,837,4,1646,15,209,0,0,3,3323
1990,2,US_Subsistence,Upper,0,18,502,4,1479,15,248,60,0,3,2329
1990,3,US_Comm,Lower,0,128,214,0,462,0,15,0,0,0,819
1990,3,US_Comm,Middle,0,25,98,0,471,0,44,0,0,0,638
1990,3,US_Comm,Upper,0,215,180,0,417,4,52,16,0,0,884
1990,3,US_Subsistence,Lower,0,224,374,0,808,0,26,0,0,0,1432
1990,3,US_Subsistence,Middle,0,44,171,0,823,0,77,0,0,0,1115
1990,3,US_Subsistence,Upper,0,376,315,0,729,7,91,28,0,0,1546
1990,4,US_Comm,Lower,0,442,310,0,317,0,10,0,0,0,1079
1990,4,US_Comm,Middle,0,256,200,1,319,0,30,0,0,0,806
1990,4,US_Comm,Upper,0,831,357,14,389,2,51,9,0,0,1653
1990,4,US_Subsistence,Lower,0,1309,918,0,939,0,30,0,0,0,3196
1990,4,US_Subsistence,Middle,0,758,592,3,945,0,89,0,0,0,2387
1990,4,US_Subsistence,Upper,0,2461,1057,41,1152,6,151,27,0,0,4895
1990,5,US_Comm,Upper,0,816,1062,66,1087,106,156,56,0,16,3365
1990,5,US_Subsistence,Upper,0,3941,5129,319,5250,512,754,271,0,77,16253
1990,6,US_Comm,Middle,0,636,598,0,1619,0,117,19,0,0,2989
1990,6,US_Sport,Middle,1,105,136,1,263,0,38,0,0,0,544
1990,6,US_Subsistence,Middle,7,722,936,7,1809,0,261,0,0,0,3742
1990,7,CA_Comm,Upper,0,2746,3574,222,3658,357,525,188,0,54,11324
1990,7,CA_Subsistence,Upper,0,1916,2494,155,2553,249,367,132,0,37,7903
1991,1,US_Comm,Lower,0,321,7134,0,12371,37,984,110,0,21,20978
1991,1,US_Comm,Middle,0,381,8966,0,5156,63,975,110,0,52,15703
1991,1,US_Comm,Upper,0,15,6306,0,10407,303,2431,603,0,71,20136
1991,1,US_Subsistence,Lower,0,134,574,0,696,0,49,0,0,0,1453
1991,1,US_Subsistence,Middle,0,232,904,0,391,0,61,0,0,12,1600
1991,1,US_Subsistence,Upper,0,25,1332,0,1100,49,232,110,0,24,2872
1991,2,US_Comm,Lower,0,637,6725,0,7089,13,361,40,0,10,14875
1991,2,US_Comm,Middle,0,436,7371,0,4890,47,590,40,0,10,13384
1991,2,US_Comm,Upper,0,16,3603,14,6177,157,973,163,0,11,11114
1991,2,US_Subsistence,Lower,0,0,840,0,1138,0,52,0,0,0,2030
1991,2,US_Subsistence,Middle,0,0,1931,0,563,3,58,0,0,0,2555
1991,2,US_Subsistence,Upper,0,0,992,0,1745,43,252,0,0,0,3032
1991,3,US_Comm,Lower,0,106,496,0,466,0,30,0,0,1,1099
1991,3,US_Comm,Middle,0,63,289,0,238,1,38,0,0,1,630
1991,3,US_Comm,Upper,0,2,184,3,343,6,64,12,0,1,615
1991,3,US_Subsistence,Lower,0,144,675,0,634,0,41,0,0,1,1495
1991,3,US_Subsistence,Middle,0,86,393,0,324,1,52,0,0,1,857
1991,3,US_Subsistence,Upper,0,3,250,4,466,8,87,16,0,1,835
1991,4,US_Comm,Lower,0,609,918,0,320,0,8,0,0,0,1855
1991,4,US_Comm,Middle,0,362,535,0,164,2,10,0,0,0,1073
1991,4,US_Comm,Upper,0,11,340,0,236,15,17,35,0,0,654
1991,4,US_Subsistence,Lower,0,1749,2637,0,919,0,23,0,0,0,5328
1991,4,US_Subsistence,Middle,0,1040,1537,0,471,6,29,0,0,0,3083
1991,4,US_Subsistence,Upper,0,31,977,0,678,43,49,100,0,0,1878
1991,5,US_Comm,Upper,0,203,1923,27,1399,44,219,11,0,0,3826
1991,5,US_Subsistence,Upper,0,862,8166,115,5941,187,930,47,0,0,16248
1991,6,US_Comm,Middle,0,299,745,0,119,0,0,0,0,0,1163
1991,6,US_Sport,Middle,1,64,387,0,271,1,48,0,0,1,773
1991,6,US_Subsistence,Middle,0,900,2247,0,360,0,0,0,0,0,3507
1991,7,CA_Comm,Upper,0,579,5482,77,3988,125,624,31,0,0,10906
1991,7,CA_Subsistence,Upper,0,515,4876,68,3547,112,555,28,0,0,9701
1992,1,US_Comm,Lower,0,1384,4361,0,10182,1,1016,0,0,2,16946
1992,1,US_Comm,Middle,0,1268,1395,0,11247,21,235,17,0,2,14185
1992,1,US_Comm,Upper,0,242,5856,0,36292,76,1315,228,0,2,44011
1992,1,US_Subsistence,Lower,0,36,197,0,584,0,47,0,0,0,864
1992,1,US_Subsistence,Middle,0,47,72,0,413,0,6,1,0,0,539
